Model,Prix,Annee,Kilometrage,Boite_Vitesse,Energie,Controle_Technique,Premiere Main,Portes,Places,Puissance
RENAULT MEGANE 4,20870,2020,38738,Manuelle,Essence,Non requis,Non,5,5,7
RENAULT MEGANE IV,17250,2021,92266,Manuelle,Diesel,Non requis,Oui,5,5,6
AUDI Q3 II,37930,2020,47403,Automatique,Essence,Non requis,Non,5,5,8
PORSCHE MACAN,95080,2019,39151,Automatique,Essence,Requis,Non,5,5,26
BMW SERIE 1 F40,26280,2021,66000,Manuelle,Diesel,Non requis,Non,5,5,6
RENAULT CAPTUR II,29380,2022,22805,Automatique,Hybrides,Non requis,Non,5,5,7
JAGUAR F-TYPE COUPE phase 2,69100,2020,32400,Automatique,Essence,Non requis,Non,3,2,24
AUDI A3 IV SPORTBACK,35800,2021,40599,Manuelle,Essence,Non requis,Non,5,5,8
VOLKSWAGEN TAIGO,26980,2023,7452,Manuelle,Essence,Non requis,Oui,5,5,6
PEUGEOT 308 (3E GENERATION),37370,2023,18800,Automatique,Diesel,Non requis,Oui,5,5,7
,37370,2023,18800,Automatique,Diesel,Non requis,Oui,5,5,7
JEEP COMPASS 2,33620,2024,12,Manuelle,Essence,Non requis,Non,5,5,6
BMW X5 G05,61990,2020,109616,Automatique,Diesel,Non requis,Non,5,5,16
PEUGEOT 308 II phase 2,34760,2023,3132,Automatique,Diesel,Non requis,Oui,5,5,7
KIA STINGER,32380,2019,97546,Automatique,Diesel,Non requis,Non,5,5,11
OPEL INSIGNIA II SPORTS TOURER phase 2,28300,2022,75701,Automatique,Diesel,Non requis,Non,5,5,9
PEUGEOT 3008 II,22180,2019,103696,Manuelle,Essence,Requis,Oui,5,5,7
KIA PICANTO III phase 2,12260,2020,86874,Manuelle,Essence,Non requis,Non,5,5,4
MERCEDES GLB,53880,2023,35728,Automatique,Diesel,Non requis,Non,5,7,8
SEAT ARONA,27160,2023,6410,Automatique,Essence,Non requis,Non,5,7,6
RENAULT MEGANE IV ESTATE phase 2,16140,2021,95075,Manuelle,Diesel,Non requis,Oui,5,5,6
FORD MUSTANG 6 COUPE,152200,2023,280,Automatique,Essence,Non requis,Oui,2,5,35
,152200,2023,280,Automatique,Essence,Non requis,Oui,2,5,35
PEUGEOT 3008 II,21300,2019,98123,Manuelle,Essence,Non requis,Non,5,5,7
BMW SERIE 5 G30 phase 2,59480,2021,46193,Automatique,Hybrides,Non requis,Non,4,5,10
PORSCHE MACAN phase 2,59760,2019,78934,Automatique,Essence,Requis,Non,5,5,16
PEUGEOT RIFTER,23380,2020,114522,Manuelle,Diesel,Non requis,Non,5,5,5
OPEL MOKKA II,30180,2023,787,Manuelle,Essence,Non requis,Oui,5,5,7
,30180,2023,787,Manuelle,Essence,Non requis,Oui,5,5,7
AUDI RS3 III SPORTBACK,103570,2022,50793,Automatique,Essence,Non requis,Non,5,5,28
NISSAN JUKE 2,24390,2023,12984,Manuelle,Essence,Non requis,Non,5,5,6
JEEP GRAND CHEROKEE IV phase 3,108060,2020,41941,Automatique,Essence,Non requis,Non,5,5,70
VOLKSWAGEN TAIGO,33270,2023,21848,Automatique,Essence,Non requis,Non,5,5,8
DACIA SANDERO II STEPWAY phase 2,14370,2019,68513,Manuelle,Diesel,Requis,Oui,5,5,4
SKODA KAROQ,25920,2020,43042,Automatique,Diesel,Non requis,Oui,5,5,6
FORD TRANSIT CUSTOM II phase 2,59040,2024,1,Automatique,Diesel,Non requis,Oui,4,3,7
DACIA SANDERO III,16230,2022,1750,Manuelle,Essence,Non requis,Oui,5,5,4
VOLKSWAGEN T-ROC,21680,2020,97000,Manuelle,Essence,Non requis,Non,5,5,5
MERCEDES CLASSE E V BREAK AMG,78100,2020,61752,Automatique,Hybrides,Non requis,Non,5,5,32
VOLKSWAGEN ID.5,43660,2023,6720,Automatique,Électrique,Non requis,Oui,5,5,5
,43660,2023,6720,Automatique,Électrique,Non requis,Oui,5,5,5
VOLVO XC90 II phase 2,69940,2022,41636,Automatique,Hybrides,Non requis,Non,5,7,19
MERCEDES-AMG GT ROADSTER,153250,2019,19980,Automatique,Essence,Requis,Non,2,2,47
JEEP RENEGADE,21230,2019,56465,Manuelle,Diesel,Non requis,Non,5,5,6
DS 3 CROSSBACK,33320,2022,22784,Automatique,Diesel,Non requis,Oui,5,5,7
CITROEN C3 (3E GENERATION),23360,2023,16429,Automatique,Essence,Non requis,Non,5,5,6
,23360,2023,16429,Automatique,Essence,Non requis,Non,5,5,6
JEEP WRANGLER III,47790,2019,78987,Automatique,Diesel,Non requis,Non,4,5,13
PEUGEOT 3008 II phase 2,37930,2022,50770,Automatique,Essence,Non requis,Oui,5,2,7
PEUGEOT 208 II,31620,2023,3955,Automatique,Essence,Non requis,Non,5,5,5
HYUNDAI I20 II phase 2,18700,2020,54756,Manuelle,Essence,Non requis,Non,5,5,5
FIAT 500 X phase 2,38580,2022,6050,Manuelle,Diesel,Non requis,Oui,5,5,7
MINI III 5P,25870,2021,18081,Manuelle,Essence,Non requis,Non,3,4,7
FORD PUMA 2,30840,2023,1,Automatique,Hybrides,Non requis,Oui,5,4,6
MERCEDES CLASSE B III,31390,2021,30973,Automatique,Essence,Non requis,Non,5,5,9
VOLKSWAGEN ARTEON SHOOTING BRAKE phase 2,80980,2023,19631,Automatique,Essence,Non requis,Non,5,5,20
PORSCHE 911 TYPE 992,207080,2021,27776,Automatique,Essence,Non requis,Oui,2,4,34
RENAULT TRAFIC III phase 2,18250,2021,97363,Manuelle,Diesel,Non requis,Oui,4,3,7
,18250,2021,97363,Manuelle,Diesel,Non requis,Oui,4,3,7
PEUGEOT 308 III,35000,2024,1,Automatique,Essence,Non requis,Oui,5,5,7
AUDI RS6 IV AVANT,148730,2021,38248,Automatique,Essence,Non requis,Non,5,5,52
BMW SERIE 1 F20 5 PORTES phase 2,22350,2019,109033,Manuelle,Diesel,Requis,Non,5,5,8
RENAULT TRAFIC III phase 2,38390,2023,11,Manuelle,Diesel,Non requis,Non,4,3,7
